Año	Nº Accidentes	División (2 dígitos) Código	División (2 dígitos) Descripción	Comarca Código	Comarca Nombre	Comarca Código
2008,0	129	75	Administración pública, defensa y seguridad social obligatoria	17	D.C. Zaragoza	17
2006,0	88	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2003,0	79	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2004,0	77	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2007,0	75	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2007,0	63	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2008,0	61	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2008,0	59	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2005,0	58	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2007,0	53	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja	13
2008,0	50	34	Fabricación de vehículos de motor, remolques y semirremolques	15	Ribera Alta del Ebro	15
2003,0	49	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca	06
2007,0	48	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca	06
2008,0	47	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca	06
2006,0	47	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2008,0	46	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja	13
2005,0	41	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca	06
2008,0	39	25	Fabricacion de productos de caucho y materias plasticas	15	Ribera Alta del Ebro	15
2004,0	39	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2003,0	39	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2005,0	37	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2003,0	37	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja	13
2006,0	35	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca	06
2005,0	35	31	Fabricación de maquinaria y material eléctrico	05	Cinco Villas	05
2005,0	35	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2004,0	35	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	06	Hoya de Huesca / Plana de Uesca	06
2004,0	35	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2008,0	34	55	Hostelería	06	Hoya de Huesca / Plana de Uesca	06
2007,0	34	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón	16
2003,0	34	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel	29
2007,0	33	25	Fabricacion de productos de caucho y materias plasticas	15	Ribera Alta del Ebro	15
2008,0	32	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro	15
2006,0	32	25	Fabricacion de productos de caucho y materias plasticas	05	Cinco Villas	05
2005,0	32	25	Fabricacion de productos de caucho y materias plasticas	05	Cinco Villas	05
2005,0	32	55	Hostelería	29	Comunidad de Teruel	29
2008,0	31	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón	16
2006,0	31	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón	16
2004,0	31	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2008,0	30	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	16	Valdejalón	16
2008,0	30	74	Otras actividades empresariales	21	Campo de Cariñena	21
2007,0	30	55	Hostelería	01	La Jacetania	01
2007,0	30	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro	15
2005,0	30	55	Hostelería	06	Hoya de Huesca / Plana de Uesca	06
2005,0	30	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2004,0	30	34	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas	05
2003,0	30	85	Actividades sanitarias y veterinarias, servicio social	06	Hoya de Huesca / Plana de Uesca	06
2006,0	29	55	Hostelería	01	La Jacetania	01
2006,0	29	55	Hostelería	06	Hoya de Huesca / Plana de Uesca	06
2003,0	29	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo	12
2008,0	28	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2007,0	28	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2006,0	28	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2003,0	28	55	Hostelería	06	Hoya de Huesca / Plana de Uesca	06
2003,0	28	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo	12
2007,0	27	55	Hostelería	06	Hoya de Huesca / Plana de Uesca	06
2004,0	27	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2003,0	27	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2008,0	26	55	Hostelería	01	La Jacetania	01
2008,0	26	55	Hostelería	02	Alto Gállego	02
2006,0	26	31	Fabricación de maquinaria y material eléctrico	05	Cinco Villas	05
2006,0	26	15	Industria de productos alimenticios y bebidas	06	Hoya de Huesca / Plana de Uesca	06
2006,0	26	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro	15
2007,0	25	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2007,0	25	85	Actividades sanitarias y veterinarias, servicio social	07	Somontano de Barbastro	07
2007,0	25	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2006,0	25	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2006,0	25	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel	29
2004,0	25	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003,0	25	34	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas	05
2003,0	25	74	Otras actividades empresariales	06	Hoya de Huesca / Plana de Uesca	06
2008,0	24	85	Actividades sanitarias y veterinarias, servicio social	07	Somontano de Barbastro	07
2007,0	24	55	Hostelería	20	Comunidad de Calatayud	20
2005,0	24	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2004,0	24	31	Fabricación de maquinaria y material eléctrico	05	Cinco Villas	05
2004,0	24	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2008,0	23	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2008,0	23	85	Actividades sanitarias y veterinarias, servicio social	20	Comunidad de Calatayud	20
2007,0	23	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo	12
2007,0	23	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro	15
2007,0	23	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	16	Valdejalón	16
2007,0	23	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	29	Comunidad de Teruel	29
2006,0	23	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	15	Ribera Alta del Ebro	15
2004,0	23	55	Hostelería	06	Hoya de Huesca / Plana de Uesca	06
2004,0	23	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel	29
2003,0	23	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2008,0	22	85	Actividades sanitarias y veterinarias, servicio social	08	Cinca Medio	08
2007,0	22	85	Actividades sanitarias y veterinarias, servicio social	20	Comunidad de Calatayud	20
2006,0	22	55	Hostelería	02	Alto Gállego	02
2006,0	22	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	16	Valdejalón	16
2004,0	22	74	Otras actividades empresariales	06	Hoya de Huesca / Plana de Uesca	06
2008,0	21	55	Hostelería	04	La Ribagorza	04
2007,0	21	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2006,0	21	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2006,0	21	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	13	Campo de Borja	13
2006,0	21	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2005,0	21	15	Industria de productos alimenticios y bebidas	05	Cinco Villas	05
2005,0	21	74	Otras actividades empresariales	06	Hoya de Huesca / Plana de Uesca	06
2005,0	21	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2004,0	21	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo	12
2004,0	21	55	Hostelería	20	Comunidad de Calatayud	20
2008,0	20	15	Industria de productos alimenticios y bebidas	05	Cinco Villas	05
2008,0	20	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	15	Ribera Alta del Ebro	15
2008,0	20	55	Hostelería	29	Comunidad de Teruel	29
2007,0	20	34	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas	05
2007,0	20	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2007,0	20	15	Industria de productos alimenticios y bebidas	26	Cuencas Mineras	26
2005,0	20	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2008,0	19	34	Fabricación de vehículos de motor, remolques y semirremolques	16	Valdejalón	16
2008,0	19	55	Hostelería	20	Comunidad de Calatayud	20
2008,0	19	15	Industria de productos alimenticios y bebidas	26	Cuencas Mineras	26
2007,0	19	55	Hostelería	02	Alto Gállego	02
2007,0	19	31	Fabricación de maquinaria y material eléctrico	05	Cinco Villas	05
2007,0	19	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón	28
2006,0	19	55	Hostelería	29	Comunidad de Teruel	29
2005,0	19	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2005,0	19	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel	29
2008,0	18	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2008,0	18	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2008,0	18	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	20	Comunidad de Calatayud	20
2007,0	18	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo	12
2007,0	18	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud	20
2007,0	18	55	Hostelería	29	Comunidad de Teruel	29
2006,0	18	15	Industria de productos alimenticios y bebidas	05	Cinco Villas	05
2006,0	18	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud	20
2005,0	18	31	Fabricación de maquinaria y material eléctrico	16	Valdejalón	16
2005,0	18	85	Actividades sanitarias y veterinarias, servicio social	29	Comunidad de Teruel	29
2004,0	18	63	Actividades anexas a los transportes; actividades de agencias de viajes	15	Ribera Alta del Ebro	15
2003,0	18	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	20	Comunidad de Calatayud	20
2003,0	18	55	Hostelería	20	Comunidad de Calatayud	20
2008,0	17	74	Otras actividades empresariales	06	Hoya de Huesca / Plana de Uesca	06
2008,0	17	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo	12
2006,0	17	15	Industria de productos alimenticios y bebidas	04	La Ribagorza	04
2006,0	17	15	Industria de productos alimenticios y bebidas	12	Tarazona y el Moncayo	12
2005,0	17	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón	16
2005,0	17	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	16	Valdejalón	16
2004,0	17	55	Hostelería	04	La Ribagorza	04
2004,0	17	15	Industria de productos alimenticios y bebidas	05	Cinco Villas	05
2008,0	16	15	Industria de productos alimenticios y bebidas	25	Jiloca	25
2008,0	16	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	29	Comunidad de Teruel	29
2008,0	16	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel	29
2007,0	16	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	08	Cinca Medio	08
2006,0	16	85	Actividades sanitarias y veterinarias, servicio social	15	Ribera Alta del Ebro	15
2005,0	16	55	Hostelería	01	La Jacetania	01
2004,0	16	25	Fabricacion de productos de caucho y materias plasticas	16	Valdejalón	16
2004,0	16	93	Actividades diversas de servicios personales	20	Comunidad de Calatayud	20
2003,0	16	55	Hostelería	29	Comunidad de Teruel	29
2008,0	15	55	Hostelería	27	Andorra-Sierra de Arcos	27
2007,0	15	55	Hostelería	07	Somontano de Barbastro	07
2007,0	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2007,0	15	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud	20
2007,0	15	74	Otras actividades empresariales	20	Comunidad de Calatayud	20
2006,0	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	20	Comunidad de Calatayud	20
2006,0	15	55	Hostelería	20	Comunidad de Calatayud	20
2005,0	15	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	08	Cinca Medio	08
2005,0	15	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo	12
2005,0	15	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	28	Bajo Aragón	28
2005,0	15	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	29	Comunidad de Teruel	29
2004,0	15	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2004,0	15	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	16	Valdejalón	16
2004,0	15	85	Actividades sanitarias y veterinarias, servicio social	20	Comunidad de Calatayud	20
2003,0	15	15	Industria de productos alimenticios y bebidas	05	Cinco Villas	05
2003,0	15	28	Fabricación de productos metálicos, excepto maquinaria y equipo	15	Ribera Alta del Ebro	15
2008,0	14	55	Hostelería	03	Sobrarbe	03
2008,0	14	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	08	Cinca Medio	08
2008,0	14	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2008,0	14	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2007,0	14	25	Fabricacion de productos de caucho y materias plasticas	05	Cinco Villas	05
2007,0	14	74	Otras actividades empresariales	06	Hoya de Huesca / Plana de Uesca	06
2007,0	14	85	Actividades sanitarias y veterinarias, servicio social	08	Cinca Medio	08
2006,0	14	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2006,0	14	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2006,0	14	31	Fabricación de maquinaria y material eléctrico	28	Bajo Aragón	28
2005,0	14	75	Administración pública, defensa y seguridad social obligatoria	13	Campo de Borja	13
2005,0	14	55	Hostelería	20	Comunidad de Calatayud	20
2005,0	14	15	Industria de productos alimenticios y bebidas	25	Jiloca	25
2004,0	14	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2004,0	14	85	Actividades sanitarias y veterinarias, servicio social	07	Somontano de Barbastro	07
2004,0	14	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud	20
2003,0	14	31	Fabricación de maquinaria y material eléctrico	05	Cinco Villas	05
2003,0	14	75	Administración pública, defensa y seguridad social obligatoria	06	Hoya de Huesca / Plana de Uesca	06
2003,0	14	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	11	Bajo Cinca / Baix Cinca	11
2003,0	14	55	Hostelería	11	Bajo Cinca / Baix Cinca	11
2003,0	14	85	Actividades sanitarias y veterinarias, servicio social	15	Ribera Alta del Ebro	15
2003,0	14	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud	20
2003,0	14	74	Otras actividades empresariales	29	Comunidad de Teruel	29
2008,0	13	55	Hostelería	07	Somontano de Barbastro	07
2008,0	13	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	11	Bajo Cinca / Baix Cinca	11
2007,0	13	55	Hostelería	03	Sobrarbe	03
2007,0	13	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	11	Bajo Cinca / Baix Cinca	11
2007,0	13	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2007,0	13	85	Actividades sanitarias y veterinarias, servicio social	28	Bajo Aragón	28
2006,0	13	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	11	Bajo Cinca / Baix Cinca	11
2006,0	13	34	Fabricación de vehículos de motor, remolques y semirremolques	13	Campo de Borja	13
2006,0	13	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2005,0	13	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	01	La Jacetania	01
2005,0	13	75	Administración pública, defensa y seguridad social obligatoria	05	Cinco Villas	05
2005,0	13	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2004,0	13	25	Fabricacion de productos de caucho y materias plasticas	12	Tarazona y el Moncayo	12
2004,0	13	85	Actividades sanitarias y veterinarias, servicio social	15	Ribera Alta del Ebro	15
2004,0	13	55	Hostelería	29	Comunidad de Teruel	29
2003,0	13	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2003,0	13	28	Fabricación de productos metálicos, excepto maquinaria y equipo	20	Comunidad de Calatayud	20
2008,0	12	15	Industria de productos alimenticios y bebidas	13	Campo de Borja	13
2007,0	12	15	Industria de productos alimenticios y bebidas	25	Jiloca	25
2007,0	12	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	28	Bajo Aragón	28
2007,0	12	75	Administración pública, defensa y seguridad social obligatoria	29	Comunidad de Teruel	29
2006,0	12	55	Hostelería	04	La Ribagorza	04
2006,0	12	85	Actividades sanitarias y veterinarias, servicio social	07	Somontano de Barbastro	07
2006,0	12	31	Fabricación de maquinaria y material eléctrico	12	Tarazona y el Moncayo	12
2006,0	12	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja	13
2006,0	12	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2006,0	12	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	29	Comunidad de Teruel	29
2005,0	12	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	05	Cinco Villas	05
2005,0	12	25	Fabricacion de productos de caucho y materias plasticas	13	Campo de Borja	13
2005,0	12	85	Actividades sanitarias y veterinarias, servicio social	15	Ribera Alta del Ebro	15
2005,0	12	15	Industria de productos alimenticios y bebidas	28	Bajo Aragón	28
2004,0	12	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	08	Cinca Medio	08
2004,0	12	85	Actividades sanitarias y veterinarias, servicio social	16	Valdejalón	16
2004,0	12	15	Industria de productos alimenticios y bebidas	25	Jiloca	25
2003,0	12	55	Hostelería	07	Somontano de Barbastro	07
2003,0	12	15	Industria de productos alimenticios y bebidas	21	Campo de Cariñena	21
2003,0	12	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2008,0	11	34	Fabricación de vehículos de motor, remolques y semirremolques	05	Cinco Villas	05
2008,0	11	75	Administración pública, defensa y seguridad social obligatoria	05	Cinco Villas	05
2008,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	07	Somontano de Barbastro	07
2008,0	11	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	20	Comunidad de Calatayud	20
2008,0	11	75	Administración pública, defensa y seguridad social obligatoria	20	Comunidad de Calatayud	20
2008,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	27	Andorra-Sierra de Arcos	27
2008,0	11	26	Fabricación de otros productos minerales no metálicos	28	Bajo Aragón	28
2007,0	11	15	Industria de productos alimenticios y bebidas	05	Cinco Villas	05
2007,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	05	Cinco Villas	05
2007,0	11	15	Industria de productos alimenticios y bebidas	16	Valdejalón	16
2007,0	11	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	16	Valdejalón	16
2007,0	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	19	Bajo Aragón-Caspe / Baix Aragó-Casp	19
2007,0	11	15	Industria de productos alimenticios y bebidas	29	Comunidad de Teruel	29
2007,0	11	64	Correos y telecomunicaciones	29	Comunidad de Teruel	29
2006,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	08	Cinca Medio	08
2006,0	11	01	Agricultura, ganadería, caza y actividades de los servicios relacionados con las mismas	16	Valdejalón	16
2006,0	11	15	Industria de productos alimenticios y bebidas	18	Ribera Baja del Ebro	18
2005,0	11	51	Comercio al por mayor e intermediarios del comercio, excepto de vehículos de motor y motocicletas	11	Bajo Cinca / Baix Cinca	11
2005,0	11	55	Hostelería	11	Bajo Cinca / Baix Cinca	11
2005,0	11	28	Fabricación de productos metálicos, excepto maquinaria y equipo	13	Campo de Borja	13
2005,0	11	15	Industria de productos alimenticios y bebidas	20	Comunidad de Calatayud	20
2005,0	11	93	Actividades diversas de servicios personales	20	Comunidad de Calatayud	20
2005,0	11	34	Fabricación de vehículos de motor, remolques y semirremolques	26	Cuencas Mineras	26
2005,0	11	85	Actividades sanitarias y veterinarias, servicio social	28	Bajo Aragón	28
2004,0	11	75	Administración pública, defensa y seguridad social obligatoria	13	Campo de Borja	13
2004,0	11	60	Transporte terrestre; transporte por tuberías	15	Ribera Alta del Ebro	15
2004,0	11	52	Comercio al por menor, excepto el comercio de vehículos de motor, motocicletas y ciclomotores; reparación de efectos personales y enseres domést icos	20	Comunidad de Calatayud	20
2004,0	11	74	Otras actividades empresariales	29	Comunidad de Teruel	29
