Inscripción CCAA código	Inscripción CCAA nombre	Año	Residencia continente código	Residencia continente nombre	Residencia área código	Residencia área nombre	Residencia país código	Residencia país nombre	Sexo	Personas
02	Aragón	2009	1	Europa	01	UE-27	125	Reino Unido	Hombre	474,0
02	Aragón	2009	1	Europa	01	UE-27	125	Reino Unido	Mujer	574,0
02	Aragón	2009	1	Europa	01	UE-27_2007	102	Austria	Hombre	29,0
02	Aragón	2009	1	Europa	01	UE-27_2007	102	Austria	Mujer	47,0
02	Aragón	2009	1	Europa	01	UE-27_2007	103	Bélgica	Hombre	291,0
02	Aragón	2009	1	Europa	01	UE-27_2007	103	Bélgica	Mujer	278,0
02	Aragón	2009	1	Europa	01	UE-27_2007	104	Bulgaria	Hombre	3,0
02	Aragón	2009	1	Europa	01	UE-27_2007	104	Bulgaria	Mujer	4,0
02	Aragón	2009	1	Europa	01	UE-27_2007	106	Chipre	Hombre	3,0
02	Aragón	2009	1	Europa	01	UE-27_2007	106	Chipre	Mujer	4,0
02	Aragón	2009	1	Europa	01	UE-27_2007	107	Dinamarca	Hombre	14,0
02	Aragón	2009	1	Europa	01	UE-27_2007	107	Dinamarca	Mujer	25,0
02	Aragón	2009	1	Europa	01	UE-27_2007	109	Finlandia	Hombre	25,0
02	Aragón	2009	1	Europa	01	UE-27_2007	109	Finlandia	Mujer	19,0
02	Aragón	2009	1	Europa	01	UE-27_2007	110	Francia	Hombre	2922,0
02	Aragón	2009	1	Europa	01	UE-27_2007	110	Francia	Mujer	2947,0
02	Aragón	2009	1	Europa	01	UE-27_2007	111	Grecia	Hombre	16,0
02	Aragón	2009	1	Europa	01	UE-27_2007	111	Grecia	Mujer	30,0
02	Aragón	2009	1	Europa	01	UE-27_2007	112	Hungría	Hombre	11,0
02	Aragón	2009	1	Europa	01	UE-27_2007	112	Hungría	Mujer	6,0
02	Aragón	2009	1	Europa	01	UE-27_2007	113	Irlanda	Hombre	47,0
02	Aragón	2009	1	Europa	01	UE-27_2007	113	Irlanda	Mujer	58,0
02	Aragón	2009	1	Europa	01	UE-27_2007	115	Italia	Hombre	98,0
02	Aragón	2009	1	Europa	01	UE-27_2007	115	Italia	Mujer	253,0
02	Aragón	2009	1	Europa	01	UE-27_2007	117	Luxemburgo	Hombre	30,0
02	Aragón	2009	1	Europa	01	UE-27_2007	117	Luxemburgo	Mujer	46,0
02	Aragón	2009	1	Europa	01	UE-27_2007	118	Malta	Hombre	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	121	Países Bajos	Hombre	111,0
02	Aragón	2009	1	Europa	01	UE-27_2007	121	Países Bajos	Mujer	164,0
02	Aragón	2009	1	Europa	01	UE-27_2007	122	Polonia	Hombre	13,0
02	Aragón	2009	1	Europa	01	UE-27_2007	122	Polonia	Mujer	11,0
02	Aragón	2009	1	Europa	01	UE-27_2007	123	Portugal	Hombre	63,0
02	Aragón	2009	1	Europa	01	UE-27_2007	123	Portugal	Mujer	73,0
02	Aragón	2009	1	Europa	01	UE-27_2007	126	Alemania	Hombre	839,0
02	Aragón	2009	1	Europa	01	UE-27_2007	126	Alemania	Mujer	906,0
02	Aragón	2009	1	Europa	01	UE-27_2007	128	Rumanía	Hombre	8,0
02	Aragón	2009	1	Europa	01	UE-27_2007	128	Rumanía	Mujer	4,0
02	Aragón	2009	1	Europa	01	UE-27_2007	131	Suecia	Hombre	49,0
02	Aragón	2009	1	Europa	01	UE-27_2007	131	Suecia	Mujer	41,0
02	Aragón	2009	1	Europa	01	UE-27_2007	136	Letonia	Mujer	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	141	Estonia	Hombre	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	141	Estonia	Mujer	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	142	Lituania	Hombre	3,0
02	Aragón	2009	1	Europa	01	UE-27_2007	143	República Checa	Hombre	8,0
02	Aragón	2009	1	Europa	01	UE-27_2007	143	República Checa	Mujer	7,0
02	Aragón	2009	1	Europa	01	UE-27_2007	144	Eslovaquia	Hombre	2,0
02	Aragón	2009	1	Europa	01	UE-27_2007	144	Eslovaquia	Mujer	1,0
02	Aragón	2009	1	Europa	01	UE-27_2007	147	Eslovenia	Hombre	2,0
02	Aragón	2009	1	Europa	01	UE-27_2007	147	Eslovenia	Mujer	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	114	Islandia	Mujer	1,0
02	Aragón	2009	1	Europa	02	Resto de Europa	120	Noruega	Hombre	10,0
02	Aragón	2009	1	Europa	02	Resto de Europa	120	Noruega	Mujer	14,0
02	Aragón	2009	1	Europa	02	Resto de Europa	124	Andorra	Hombre	342,0
02	Aragón	2009	1	Europa	02	Resto de Europa	124	Andorra	Mujer	351,0
02	Aragón	2009	1	Europa	02	Resto de Europa	132	Suiza	Hombre	365,0
02	Aragón	2009	1	Europa	02	Resto de Europa	132	Suiza	Mujer	473,0
02	Aragón	2009	1	Europa	02	Resto de Europa	135	Ucrania	Hombre	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Hombre	5,0
02	Aragón	2009	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Mujer	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	146	Croacia	Hombre	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	146	Croacia	Mujer	1,0
02	Aragón	2009	1	Europa	02	Resto de Europa	154	Rusia	Hombre	11,0
02	Aragón	2009	1	Europa	02	Resto de Europa	154	Rusia	Mujer	14,0
02	Aragón	2009	1	Europa	02	Resto de Europa	156	Macedonia	Mujer	1,0
02	Aragón	2009	1	Europa	02	Resto de Europa	157	Serbia	Hombre	4,0
02	Aragón	2009	1	Europa	02	Resto de Europa	157	Serbia	Mujer	2,0
02	Aragón	2009	1	Europa	02	Resto de Europa	436	Turquía	Mujer	1,0
02	Aragón	2009	2	África	03	Magreb	203	Argelia	Hombre	3,0
02	Aragón	2009	2	África	03	Magreb	203	Argelia	Mujer	1,0
02	Aragón	2009	2	África	03	Magreb	224	Libia	Hombre	2,0
02	Aragón	2009	2	África	03	Magreb	224	Libia	Mujer	2,0
02	Aragón	2009	2	África	03	Magreb	228	Marruecos	Hombre	38,0
02	Aragón	2009	2	África	03	Magreb	228	Marruecos	Mujer	45,0
02	Aragón	2009	2	África	03	Magreb	230	Mauritania	Hombre	1,0
02	Aragón	2009	2	África	03	Magreb	230	Mauritania	Mujer	1,0
02	Aragón	2009	2	África	03	Magreb	248	Túnez	Hombre	17,0
02	Aragón	2009	2	África	03	Magreb	248	Túnez	Mujer	16,0
02	Aragón	2009	2	África	04	Resto de África	202	Angola	Hombre	5,0
02	Aragón	2009	2	África	04	Resto de África	202	Angola	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	207	Cabo Verde	Hombre	2,0
02	Aragón	2009	2	África	04	Resto de África	207	Cabo Verde	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	208	Camerún	Hombre	7,0
02	Aragón	2009	2	África	04	Resto de África	208	Camerún	Mujer	4,0
02	Aragón	2009	2	África	04	Resto de África	211	Costa de Marfil	Hombre	4,0
02	Aragón	2009	2	África	04	Resto de África	211	Costa de Marfil	Mujer	8,0
02	Aragón	2009	2	África	04	Resto de África	213	Egipto	Hombre	9,0
02	Aragón	2009	2	África	04	Resto de África	213	Egipto	Mujer	5,0
02	Aragón	2009	2	África	04	Resto de África	214	Etiopía	Hombre	3,0
02	Aragón	2009	2	África	04	Resto de África	214	Etiopía	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	215	Gabón	Hombre	4,0
02	Aragón	2009	2	África	04	Resto de África	215	Gabón	Mujer	5,0
02	Aragón	2009	2	África	04	Resto de África	216	Gambia	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	217	Ghana	Mujer	2,0
02	Aragón	2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Hombre	18,0
02	Aragón	2009	2	África	04	Resto de África	220	Guinea Ecuatorial	Mujer	21,0
02	Aragón	2009	2	África	04	Resto de África	221	Kenia	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	225	Madagascar	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	226	Malawi	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	227	Mali	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	231	Mozambique	Hombre	2,0
02	Aragón	2009	2	África	04	Resto de África	231	Mozambique	Mujer	3,0
02	Aragón	2009	2	África	04	Resto de África	232	Namibia	Hombre	2,0
02	Aragón	2009	2	África	04	Resto de África	234	Nigeria	Hombre	3,0
02	Aragón	2009	2	África	04	Resto de África	236	Sudáfrica	Hombre	18,0
02	Aragón	2009	2	África	04	Resto de África	236	Sudáfrica	Mujer	16,0
02	Aragón	2009	2	África	04	Resto de África	237	Ruanda	Mujer	2,0
02	Aragón	2009	2	África	04	Resto de África	239	Senegal	Hombre	7,0
02	Aragón	2009	2	África	04	Resto de África	239	Senegal	Mujer	3,0
02	Aragón	2009	2	África	04	Resto de África	245	Tanzania	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	245	Tanzania	Mujer	2,0
02	Aragón	2009	2	África	04	Resto de África	246	Chad	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	246	Chad	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	247	Togo	Hombre	1,0
02	Aragón	2009	2	África	04	Resto de África	249	Uganda	Mujer	1,0
02	Aragón	2009	2	África	04	Resto de África	250	Rep. Democrática del Congo	Hombre	5,0
02	Aragón	2009	2	África	04	Resto de África	252	Zimbabwe	Hombre	5,0
02	Aragón	2009	2	África	04	Resto de África	252	Zimbabwe	Mujer	2,0
02	Aragón	2009	3	América	05	América del Norte	301	Canadá	Hombre	176,0
02	Aragón	2009	3	América	05	América del Norte	301	Canadá	Mujer	136,0
02	Aragón	2009	3	América	05	América del Norte	302	Estados Unidos de América	Hombre	566,0
02	Aragón	2009	3	América	05	América del Norte	302	Estados Unidos de América	Mujer	921,0
02	Aragón	2009	3	América	06	Resto de América	303	México	Hombre	515,0
02	Aragón	2009	3	América	06	Resto de América	303	México	Mujer	485,0
02	Aragón	2009	3	América	06	Resto de América	313	Belice	Mujer	1,0
02	Aragón	2009	3	América	06	Resto de América	314	Costa Rica	Hombre	40,0
02	Aragón	2009	3	América	06	Resto de América	314	Costa Rica	Mujer	37,0
02	Aragón	2009	3	América	06	Resto de América	315	Cuba	Hombre	52,0
02	Aragón	2009	3	América	06	Resto de América	315	Cuba	Mujer	85,0
02	Aragón	2009	3	América	06	Resto de América	317	El Salvador	Hombre	5,0
02	Aragón	2009	3	América	06	Resto de América	317	El Salvador	Mujer	1,0
02	Aragón	2009	3	América	06	Resto de América	319	Guatemala	Hombre	43,0
02	Aragón	2009	3	América	06	Resto de América	319	Guatemala	Mujer	40,0
02	Aragón	2009	3	América	06	Resto de América	320	Haití	Mujer	1,0
02	Aragón	2009	3	América	06	Resto de América	321	Honduras	Hombre	38,0
02	Aragón	2009	3	América	06	Resto de América	321	Honduras	Mujer	33,0
02	Aragón	2009	3	América	06	Resto de América	322	Jamaica	Mujer	1,0
02	Aragón	2009	3	América	06	Resto de América	323	Nicaragua	Hombre	12,0
02	Aragón	2009	3	América	06	Resto de América	323	Nicaragua	Mujer	10,0
02	Aragón	2009	3	América	06	Resto de América	324	Panamá	Hombre	45,0
02	Aragón	2009	3	América	06	Resto de América	324	Panamá	Mujer	67,0
02	Aragón	2009	3	América	06	Resto de América	326	República Dominicana	Hombre	66,0
02	Aragón	2009	3	América	06	Resto de América	326	República Dominicana	Mujer	67,0
02	Aragón	2009	3	América	06	Resto de América	327	Trinidad y Tobago	Mujer	1,0
02	Aragón	2009	3	América	06	Resto de América	328	Santa Lucia	Hombre	1,0
02	Aragón	2009	3	América	06	Resto de América	328	Santa Lucia	Mujer	1,0
02	Aragón	2009	3	América	06	Resto de América	340	Argentina	Hombre	1591,0
02	Aragón	2009	3	América	06	Resto de América	340	Argentina	Mujer	1902,0
02	Aragón	2009	3	América	06	Resto de América	341	Bolivia	Hombre	59,0
02	Aragón	2009	3	América	06	Resto de América	341	Bolivia	Mujer	46,0
02	Aragón	2009	3	América	06	Resto de América	342	Brasil	Hombre	691,0
02	Aragón	2009	3	América	06	Resto de América	342	Brasil	Mujer	682,0
02	Aragón	2009	3	América	06	Resto de América	343	Colombia	Hombre	104,0
02	Aragón	2009	3	América	06	Resto de América	343	Colombia	Mujer	119,0
02	Aragón	2009	3	América	06	Resto de América	344	Chile	Hombre	379,0
02	Aragón	2009	3	América	06	Resto de América	344	Chile	Mujer	409,0
02	Aragón	2009	3	América	06	Resto de América	345	Ecuador	Hombre	94,0
02	Aragón	2009	3	América	06	Resto de América	345	Ecuador	Mujer	74,0
02	Aragón	2009	3	América	06	Resto de América	347	Paraguay	Hombre	52,0
02	Aragón	2009	3	América	06	Resto de América	347	Paraguay	Mujer	34,0
02	Aragón	2009	3	América	06	Resto de América	348	Perú	Hombre	108,0
02	Aragón	2009	3	América	06	Resto de América	348	Perú	Mujer	124,0
02	Aragón	2009	3	América	06	Resto de América	350	Uruguay	Hombre	142,0
02	Aragón	2009	3	América	06	Resto de América	350	Uruguay	Mujer	172,0
02	Aragón	2009	3	América	06	Resto de América	351	Venezuela	Hombre	935,0
02	Aragón	2009	3	América	06	Resto de América	351	Venezuela	Mujer	920,0
02	Aragón	2009	4	Asia	07	Asia	402	Arabia Saudí	Hombre	12,0
02	Aragón	2009	4	Asia	07	Asia	402	Arabia Saudí	Mujer	10,0
02	Aragón	2009	4	Asia	07	Asia	407	China	Hombre	33,0
02	Aragón	2009	4	Asia	07	Asia	407	China	Mujer	18,0
02	Aragón	2009	4	Asia	07	Asia	408	Emiratos Arabes Unidos	Hombre	6,0
02	Aragón	2009	4	Asia	07	Asia	408	Emiratos Arabes Unidos	Mujer	5,0
02	Aragón	2009	4	Asia	07	Asia	409	Filipinas	Hombre	25,0
02	Aragón	2009	4	Asia	07	Asia	409	Filipinas	Mujer	25,0
02	Aragón	2009	4	Asia	07	Asia	410	India	Hombre	6,0
02	Aragón	2009	4	Asia	07	Asia	410	India	Mujer	7,0
02	Aragón	2009	4	Asia	07	Asia	411	Indonesia	Hombre	5,0
02	Aragón	2009	4	Asia	07	Asia	411	Indonesia	Mujer	1,0
02	Aragón	2009	4	Asia	07	Asia	413	Irán	Mujer	1,0
02	Aragón	2009	4	Asia	07	Asia	414	Israel	Hombre	10,0
02	Aragón	2009	4	Asia	07	Asia	414	Israel	Mujer	18,0
02	Aragón	2009	4	Asia	07	Asia	415	Japón	Hombre	23,0
02	Aragón	2009	4	Asia	07	Asia	415	Japón	Mujer	8,0
02	Aragón	2009	4	Asia	07	Asia	416	Jordania	Hombre	21,0
02	Aragón	2009	4	Asia	07	Asia	416	Jordania	Mujer	37,0
02	Aragón	2009	4	Asia	07	Asia	420	Líbano	Hombre	10,0
02	Aragón	2009	4	Asia	07	Asia	420	Líbano	Mujer	13,0
02	Aragón	2009	4	Asia	07	Asia	421	Malasia	Hombre	1,0
02	Aragón	2009	4	Asia	07	Asia	421	Malasia	Mujer	3,0
02	Aragón	2009	4	Asia	07	Asia	426	Pakistán	Hombre	2,0
02	Aragón	2009	4	Asia	07	Asia	426	Pakistán	Mujer	3,0
02	Aragón	2009	4	Asia	07	Asia	427	Qatar	Hombre	2,0
02	Aragón	2009	4	Asia	07	Asia	427	Qatar	Mujer	1,0
02	Aragón	2009	4	Asia	07	Asia	430	República de Corea	Hombre	1,0
02	Aragón	2009	4	Asia	07	Asia	430	República de Corea	Mujer	1,0
02	Aragón	2009	4	Asia	07	Asia	432	Singapur	Hombre	4,0
02	Aragón	2009	4	Asia	07	Asia	432	Singapur	Mujer	3,0
02	Aragón	2009	4	Asia	07	Asia	433	Siria	Hombre	23,0
02	Aragón	2009	4	Asia	07	Asia	433	Siria	Mujer	14,0
02	Aragón	2009	4	Asia	07	Asia	435	Tailandia	Hombre	5,0
02	Aragón	2009	4	Asia	07	Asia	435	Tailandia	Mujer	2,0
02	Aragón	2009	4	Asia	07	Asia	437	Vietnam	Hombre	3,0
02	Aragón	2009	4	Asia	07	Asia	438	Taiwan	Hombre	5,0
02	Aragón	2009	4	Asia	07	Asia	438	Taiwan	Mujer	2,0
02	Aragón	2009	4	Asia	07	Asia	443	Kazajstan	Hombre	2,0
02	Aragón	2009	5	Oceanía	08	Oceanía	501	Australia	Hombre	84,0
02	Aragón	2009	5	Oceanía	08	Oceanía	501	Australia	Mujer	91,0
02	Aragón	2009	5	Oceanía	08	Oceanía	504	Nueva Zelanda	Hombre	5,0
02	Aragón	2009	5	Oceanía	08	Oceanía	504	Nueva Zelanda	Mujer	7,0
02	Aragón	2009	5	Oceanía	08	Oceanía	505	Papua Nueva Guinea	Hombre	1,0
02	Aragón	2010	1	Europa	01	UE-27	125	Reino Unido	Hombre	506,0
02	Aragón	2010	1	Europa	01	UE-27	125	Reino Unido	Mujer	626,0
02	Aragón	2010	1	Europa	01	UE-27_2007	102	Austria	Hombre	32,0
02	Aragón	2010	1	Europa	01	UE-27_2007	102	Austria	Mujer	47,0
02	Aragón	2010	1	Europa	01	UE-27_2007	103	Bélgica	Hombre	303,0
02	Aragón	2010	1	Europa	01	UE-27_2007	103	Bélgica	Mujer	304,0
02	Aragón	2010	1	Europa	01	UE-27_2007	104	Bulgaria	Hombre	5,0
02	Aragón	2010	1	Europa	01	UE-27_2007	104	Bulgaria	Mujer	5,0
02	Aragón	2010	1	Europa	01	UE-27_2007	106	Chipre	Hombre	2,0
02	Aragón	2010	1	Europa	01	UE-27_2007	106	Chipre	Mujer	3,0
02	Aragón	2010	1	Europa	01	UE-27_2007	107	Dinamarca	Hombre	22,0
02	Aragón	2010	1	Europa	01	UE-27_2007	107	Dinamarca	Mujer	30,0
02	Aragón	2010	1	Europa	01	UE-27_2007	109	Finlandia	Hombre	25,0
02	Aragón	2010	1	Europa	01	UE-27_2007	109	Finlandia	Mujer	19,0
02	Aragón	2010	1	Europa	01	UE-27_2007	110	Francia	Hombre	3023,0
02	Aragón	2010	1	Europa	01	UE-27_2007	110	Francia	Mujer	3044,0
02	Aragón	2010	1	Europa	01	UE-27_2007	111	Grecia	Hombre	20,0
02	Aragón	2010	1	Europa	01	UE-27_2007	111	Grecia	Mujer	34,0
02	Aragón	2010	1	Europa	01	UE-27_2007	112	Hungría	Hombre	8,0
02	Aragón	2010	1	Europa	01	UE-27_2007	112	Hungría	Mujer	6,0
02	Aragón	2010	1	Europa	01	UE-27_2007	113	Irlanda	Hombre	46,0
02	Aragón	2010	1	Europa	01	UE-27_2007	113	Irlanda	Mujer	56,0
02	Aragón	2010	1	Europa	01	UE-27_2007	115	Italia	Hombre	146,0
02	Aragón	2010	1	Europa	01	UE-27_2007	115	Italia	Mujer	287,0
02	Aragón	2010	1	Europa	01	UE-27_2007	117	Luxemburgo	Hombre	29,0
02	Aragón	2010	1	Europa	01	UE-27_2007	117	Luxemburgo	Mujer	44,0
02	Aragón	2010	1	Europa	01	UE-27_2007	118	Malta	Hombre	1,0
02	Aragón	2010	1	Europa	01	UE-27_2007	121	Países Bajos	Hombre	120,0
02	Aragón	2010	1	Europa	01	UE-27_2007	121	Países Bajos	Mujer	181,0
02	Aragón	2010	1	Europa	01	UE-27_2007	122	Polonia	Hombre	16,0
02	Aragón	2010	1	Europa	01	UE-27_2007	122	Polonia	Mujer	11,0
02	Aragón	2010	1	Europa	01	UE-27_2007	123	Portugal	Hombre	61,0
02	Aragón	2010	1	Europa	01	UE-27_2007	123	Portugal	Mujer	73,0
02	Aragón	2010	1	Europa	01	UE-27_2007	126	Alemania	Hombre	852,0
02	Aragón	2010	1	Europa	01	UE-27_2007	126	Alemania	Mujer	942,0
02	Aragón	2010	1	Europa	01	UE-27_2007	128	Rumanía	Hombre	8,0
02	Aragón	2010	1	Europa	01	UE-27_2007	128	Rumanía	Mujer	4,0
02	Aragón	2010	1	Europa	01	UE-27_2007	131	Suecia	Hombre	54,0
02	Aragón	2010	1	Europa	01	UE-27_2007	131	Suecia	Mujer	46,0
02	Aragón	2010	1	Europa	01	UE-27_2007	136	Letonia	Mujer	1,0
02	Aragón	2010	1	Europa	01	UE-27_2007	141	Estonia	Mujer	1,0
02	Aragón	2010	1	Europa	01	UE-27_2007	142	Lituania	Hombre	3,0
02	Aragón	2010	1	Europa	01	UE-27_2007	143	República Checa	Hombre	9,0
02	Aragón	2010	1	Europa	01	UE-27_2007	143	República Checa	Mujer	8,0
02	Aragón	2010	1	Europa	01	UE-27_2007	144	Eslovaquia	Hombre	2,0
02	Aragón	2010	1	Europa	01	UE-27_2007	144	Eslovaquia	Mujer	1,0
02	Aragón	2010	1	Europa	01	UE-27_2007	147	Eslovenia	Hombre	2,0
02	Aragón	2010	1	Europa	01	UE-27_2007	147	Eslovenia	Mujer	2,0
02	Aragón	2010	1	Europa	02	Resto de Europa	114	Islandia	Mujer	1,0
02	Aragón	2010	1	Europa	02	Resto de Europa	120	Noruega	Hombre	9,0
02	Aragón	2010	1	Europa	02	Resto de Europa	120	Noruega	Mujer	12,0
02	Aragón	2010	1	Europa	02	Resto de Europa	124	Andorra	Hombre	349,0
02	Aragón	2010	1	Europa	02	Resto de Europa	124	Andorra	Mujer	346,0
02	Aragón	2010	1	Europa	02	Resto de Europa	132	Suiza	Hombre	363,0
02	Aragón	2010	1	Europa	02	Resto de Europa	132	Suiza	Mujer	485,0
02	Aragón	2010	1	Europa	02	Resto de Europa	135	Ucrania	Hombre	2,0
02	Aragón	2010	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Hombre	7,0
02	Aragón	2010	1	Europa	02	Resto de Europa	145	Bosnia-Herzegovina	Mujer	2,0
02	Aragón	2010	1	Europa	02	Resto de Europa	146	Croacia	Hombre	1,0
02	Aragón	2010	1	Europa	02	Resto de Europa	146	Croacia	Mujer	2,0
02	Aragón	2010	1	Europa	02	Resto de Europa	154	Rusia	Hombre	12,0
02	Aragón	2010	1	Europa	02	Resto de Europa	154	Rusia	Mujer	14,0
02	Aragón	2010	1	Europa	02	Resto de Europa	156	Macedonia	Mujer	1,0
02	Aragón	2010	1	Europa	02	Resto de Europa	157	Serbia	Hombre	4,0
02	Aragón	2010	1	Europa	02	Resto de Europa	157	Serbia	Mujer	3,0
02	Aragón	2010	1	Europa	02	Resto de Europa	436	Turquía	Hombre	2,0
02	Aragón	2010	1	Europa	02	Resto de Europa	436	Turquía	Mujer	2,0
02	Aragón	2010	2	África	03	Magreb	203	Argelia	Hombre	9,0
02	Aragón	2010	2	África	03	Magreb	203	Argelia	Mujer	1,0
02	Aragón	2010	2	África	03	Magreb	224	Libia	Hombre	2,0
02	Aragón	2010	2	África	03	Magreb	224	Libia	Mujer	1,0
02	Aragón	2010	2	África	03	Magreb	228	Marruecos	Hombre	45,0
02	Aragón	2010	2	África	03	Magreb	228	Marruecos	Mujer	48,0
02	Aragón	2010	2	África	03	Magreb	230	Mauritania	Hombre	2,0
02	Aragón	2010	2	África	03	Magreb	230	Mauritania	Mujer	1,0
02	Aragón	2010	2	África	03	Magreb	248	Túnez	Hombre	18,0
02	Aragón	2010	2	África	03	Magreb	248	Túnez	Mujer	15,0
02	Aragón	2010	2	África	04	Resto de África	202	Angola	Hombre	5,0
02	Aragón	2010	2	África	04	Resto de África	202	Angola	Mujer	2,0
02	Aragón	2010	2	África	04	Resto de África	207	Cabo Verde	Hombre	2,0
02	Aragón	2010	2	África	04	Resto de África	207	Cabo Verde	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	208	Camerún	Hombre	5,0
02	Aragón	2010	2	África	04	Resto de África	208	Camerún	Mujer	3,0
02	Aragón	2010	2	África	04	Resto de África	211	Costa de Marfil	Hombre	2,0
02	Aragón	2010	2	África	04	Resto de África	211	Costa de Marfil	Mujer	7,0
02	Aragón	2010	2	África	04	Resto de África	213	Egipto	Hombre	7,0
02	Aragón	2010	2	África	04	Resto de África	213	Egipto	Mujer	5,0
02	Aragón	2010	2	África	04	Resto de África	214	Etiopía	Hombre	2,0
02	Aragón	2010	2	África	04	Resto de África	214	Etiopía	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	215	Gabón	Hombre	5,0
02	Aragón	2010	2	África	04	Resto de África	215	Gabón	Mujer	7,0
02	Aragón	2010	2	África	04	Resto de África	216	Gambia	Hombre	4,0
02	Aragón	2010	2	África	04	Resto de África	216	Gambia	Mujer	2,0
02	Aragón	2010	2	África	04	Resto de África	217	Ghana	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	220	Guinea Ecuatorial	Hombre	16,0
02	Aragón	2010	2	África	04	Resto de África	220	Guinea Ecuatorial	Mujer	18,0
02	Aragón	2010	2	África	04	Resto de África	221	Kenia	Hombre	1,0
02	Aragón	2010	2	África	04	Resto de África	221	Kenia	Mujer	2,0
02	Aragón	2010	2	África	04	Resto de África	225	Madagascar	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	226	Malawi	Hombre	1,0
02	Aragón	2010	2	África	04	Resto de África	231	Mozambique	Hombre	3,0
02	Aragón	2010	2	África	04	Resto de África	231	Mozambique	Mujer	3,0
02	Aragón	2010	2	África	04	Resto de África	232	Namibia	Hombre	3,0
02	Aragón	2010	2	África	04	Resto de África	233	Níger	Mujer	2,0
02	Aragón	2010	2	África	04	Resto de África	234	Nigeria	Hombre	2,0
02	Aragón	2010	2	África	04	Resto de África	234	Nigeria	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	236	Sudáfrica	Hombre	19,0
02	Aragón	2010	2	África	04	Resto de África	236	Sudáfrica	Mujer	15,0
02	Aragón	2010	2	África	04	Resto de África	237	Ruanda	Mujer	2,0
02	Aragón	2010	2	África	04	Resto de África	239	Senegal	Hombre	9,0
02	Aragón	2010	2	África	04	Resto de África	239	Senegal	Mujer	4,0
02	Aragón	2010	2	África	04	Resto de África	243	Sudán	Hombre	2,0
02	Aragón	2010	2	África	04	Resto de África	243	Sudán	Mujer	3,0
02	Aragón	2010	2	África	04	Resto de África	245	Tanzania	Hombre	1,0
02	Aragón	2010	2	África	04	Resto de África	245	Tanzania	Mujer	2,0
02	Aragón	2010	2	África	04	Resto de África	246	Chad	Hombre	1,0
02	Aragón	2010	2	África	04	Resto de África	246	Chad	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	247	Togo	Hombre	1,0
02	Aragón	2010	2	África	04	Resto de África	249	Uganda	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	250	Rep. Democrática del Congo	Hombre	6,0
02	Aragón	2010	2	África	04	Resto de África	250	Rep. Democrática del Congo	Mujer	1,0
02	Aragón	2010	2	África	04	Resto de África	252	Zimbabwe	Hombre	3,0
02	Aragón	2010	3	América	05	América del Norte	301	Canadá	Hombre	195,0
02	Aragón	2010	3	América	05	América del Norte	301	Canadá	Mujer	159,0
02	Aragón	2010	3	América	05	América del Norte	302	Estados Unidos de América	Hombre	643,0
02	Aragón	2010	3	América	05	América del Norte	302	Estados Unidos de América	Mujer	988,0
02	Aragón	2010	3	América	06	Resto de América	303	México	Hombre	570,0
02	Aragón	2010	3	América	06	Resto de América	303	México	Mujer	537,0
02	Aragón	2010	3	América	06	Resto de América	313	Belice	Mujer	1,0
02	Aragón	2010	3	América	06	Resto de América	314	Costa Rica	Hombre	40,0
02	Aragón	2010	3	América	06	Resto de América	314	Costa Rica	Mujer	39,0
02	Aragón	2010	3	América	06	Resto de América	315	Cuba	Hombre	69,0
02	Aragón	2010	3	América	06	Resto de América	315	Cuba	Mujer	104,0
02	Aragón	2010	3	América	06	Resto de América	317	El Salvador	Hombre	5,0
02	Aragón	2010	3	América	06	Resto de América	317	El Salvador	Mujer	1,0
